(char, 7, char)
(id, 71, c)
(separators, 61, ;)
(int, 23, int)
(id, 71, j)
(eq, 58, =)
(digit, 0, 1)
(separators, 61, ;)
(for, 18, for)
(separators, 61, ()
(int, 23, int)
(id, 71, i)
(eq, 58, =)
(digit, 0, 0)
(separators, 61, ;)
(id, 71, i)
(lt, 59, <)
(digit, 0, 10)
(op, 80, &&)
(id, 71, j)
(op, 80, !=)
(digit, 0, 5)
(separators, 61, ;)
(id, 71, i)
(op, 80, ++)
(separators, 61, ))
(separators, 61, {)
(id, 71, j)
(eq, 58, =)
(id, 71, j)
(min, 52, -)
(digit, 0, 1.123)
(separators, 61, ;)
(double, 12, double)
(id, 71, x)
(eq, 58, =)
(digit, 0, 2.6)
(separators, 61, ;)
(int, 23, int)
(id, 71, a)
(separators, 61, [)
(digit, 0, 10)
(separators, 61, ])
(id, 71, x)
(op, 80, ++)
(separators, 61, ;)
(if, 19, if)
(separators, 61, ()
(id, 71, x)
(op, 80, >=)
(digit, 0, 6)
(separators, 61, ))
(separators, 61, {)
(break, 3, break)
(separators, 61, ;)
(separators, 61, })
(separators, 61, })
(int, 23, int)
(id, 71, lenth)
(eq, 58, =)
(digit, 0, 10)
(separators, 61, ;)
(while, 45, while)
(separators, 61, ()
(id, 71, length)
(op, 80, ==)
(digit, 0, 0)
(separators, 61, ))
(separators, 61, {)
(id, 71, length)
(op, 80, --)
(separators, 61, ;)
(separators, 61, })
